atom_index_0,atom_index_1,bond_atom,bond_distance,molecule_name,scalar_coupling_constant,tertiary_angle_0,tertiary_angle_1,tertiary_angle_2,tertiary_atom_0,tertiary_atom_1,tertiary_atom_2,tertiary_distance_0,tertiary_distance_1,tertiary_distance_2,totalatoms,type
1,0,C3,1.091953059411922,dsgdb9nsd_000001,84.8076,1.910584149336813,1.9106349359805825,1.9106480070525362,H,H,H,1.7831197560438021,1.7831474962399783,1.7831566855725496,5,1JHC
1,2,H,1.7831197560438021,dsgdb9nsd_000001,-11.257,0.6155047185731665,1.0472032419273292,1.0472121927803462,C3,H,H,1.091953059411922,1.7831474962399783,1.7831566855725496,5,2JHH
1,3,H,1.7831474962399783,dsgdb9nsd_000001,-11.2548,0.6154810217530696,1.04717629691041,1.0472033801359564,C3,H,H,1.091953059411922,1.7831197560438021,1.7831566855725496,5,2JHH
1,4,H,1.7831566855725496,dsgdb9nsd_000001,-11.2543,0.6154741099122751,1.0471763215659038,1.0471944541216298,C3,H,H,1.091953059411922,1.7831197560438021,1.7831474962399783,5,2JHH
2,0,C3,1.0919516188628118,dsgdb9nsd_000001,84.8074,1.910584149336813,1.9106367215908509,1.9106529237413992,H,H,H,1.7831197560438021,1.783148394630673,1.7831576600993326,5,1JHC
2,3,H,1.7831576600993326,dsgdb9nsd_000001,-11.2541,0.6154715614187422,1.04717629691041,1.0471947203498677,C3,H,H,1.0919516188628118,1.7831197560438021,1.783148394630673,5,2JHH
2,4,H,1.783148394630673,dsgdb9nsd_000001,-11.2548,0.6154792862438363,1.0471763215659038,1.0472037203201958,C3,H,H,1.0919516188628118,1.7831197560438021,1.7831576600993326,5,2JHH
3,0,C3,1.0919463791331034,dsgdb9nsd_000001,84.8093,1.9106349359805825,1.9106426791225295,1.9106529237413992,H,H,H,1.7831474962399783,1.7831478722270893,1.7831576600993326,5,1JHC
3,4,H,1.7831478722270893,dsgdb9nsd_000001,-11.2543,0.6154746109566749,1.0471944541216298,1.0472037203201958,C3,H,H,1.0919463791331034,1.7831474962399783,1.7831576600993326,5,2JHH
4,0,C3,1.091947541273265,dsgdb9nsd_000001,84.8095,1.9106426791225295,1.9106367215908509,1.9106480070525362,H,H,H,1.7831478722270893,1.783148394630673,1.7831566855725496,5,1JHC
